index,payload,is_malicious,injection_type
0,37662577P,0.0,LEGAL
1,shirting,0.0,LEGAL
2,&kw=%27;alert%28%27XSS%27%29;//,1.0,XSS
3,obeying,0.0,LEGAL
4,dictating,0.0,LEGAL
5,lafleur,0.0,LEGAL
6,capturers,0.0,LEGAL
7,8nca58z48,0.0,LEGAL
8,autocratic,0.0,LEGAL
9,grocery+warehouses,0.0,LEGAL
10,Danciel,0.0,LEGAL
11,Koressa,0.0,LEGAL
12,bowie0%40showeb-handling.bi,0.0,LEGAL
13,Auque+Cote,0.0,LEGAL
14,broadest,0.0,LEGAL
15,Xaubet+Sorolla,0.0,LEGAL
16,vocational,0.0,LEGAL
17,Yemen,0.0,LEGAL
18,22584,0.0,LEGAL
19,"<BR SIZE=""&{alert(1)}"">",1.0,XSS
20,impaction,0.0,LEGAL
21,"<button onclick=""window.open('http://xss.cx/::Error138 ');"">CLICKME",1.0,XSS
22,"<IFRAME SRC=""javascript:alert(\'XSS\');""></IFRAME>",1.0,XSS
23,03830,0.0,LEGAL
24,pineapple,0.0,LEGAL
25,La+Lora+11%2C+,0.0,LEGAL
26,Pittston,0.0,LEGAL
27,Aeriela,0.0,LEGAL
28,Brewster,0.0,LEGAL
29,doting,0.0,LEGAL
30,Alissa,0.0,LEGAL
31,1027246428586184,0.0,LEGAL
32,Condado+de+Trevi%F1o,0.0,LEGAL
33,imperatively,0.0,LEGAL
34,hindman%40primeracasa-ebs.il,0.0,LEGAL
35,42127,0.0,LEGAL
36,reparation,0.0,LEGAL
37,outdo,0.0,LEGAL
38,Guadiana+149+6F,0.0,LEGAL
39,3110,0.0,LEGAL
40,geophysical,0.0,LEGAL
41,../../../../etc/hosts/.',1.0,SHELL
42,http%3A%2F%2Fwww.naturalnews.com%2F027434_cilantro_detox_health.html,0.0,LEGAL
43,Yaco,0.0,LEGAL
44,Rapetto+Picabea,0.0,LEGAL
45,tomahawk,0.0,LEGAL
46,31790,0.0,LEGAL
47,47182,0.0,LEGAL
48,Derch+Mallol,0.0,LEGAL
49,Russel,0.0,LEGAL
50,Clavero+Lloveras,0.0,LEGAL
51,Chuan,0.0,LEGAL
52,Albornoz+Quiva,0.0,LEGAL
53,Fainstein+Ferrete,0.0,LEGAL
54,Sidonia,0.0,LEGAL
55,meanings,0.0,LEGAL
56,yank,0.0,LEGAL
57,permutations,0.0,LEGAL
58,Cabu%E9rniga,0.0,LEGAL
59,lacerate,0.0,LEGAL
60,starch,0.0,LEGAL
61,Henche,0.0,LEGAL
62,Jolyn,0.0,LEGAL
63,hillias%40epbx.dk,0.0,LEGAL
64,stereotypical,0.0,LEGAL
65,exageraci%F3%3Fn,0.0,LEGAL
66,2255812100125453,0.0,LEGAL
67,inertia,0.0,LEGAL
68,"""<STYLE>li {list-style-image: url(""""javascript:alert('XSS')"""");}</STYLE><UL><LI>XSS""",1.0,XSS
69,Caama%F1o+Alayo,0.0,LEGAL
70,http%3A%2F%2Fanswers.yahoo.com%2Fdir%2Findex%3Fsid%3D396545163%26link%3Dask,0.0,LEGAL
71,Fivasa%2C+15%2C+,0.0,LEGAL
72,c35ilda19,0.0,LEGAL
73,<svg/onload=eval(atob(location.hash.slice(1)))>#YWxlcnQoMSkvLw==,1.0,XSS
74,39387022M,0.0,LEGAL
75,Ventura+Mot%ECn,0.0,LEGAL
76,hammer,0.0,LEGAL
77,Kam-Suen,0.0,LEGAL
78,Vreeland,0.0,LEGAL
79,Cuesta+Sal%2C+171%2C+5%3FA,0.0,LEGAL
80,stubborn,0.0,LEGAL
81,vpn,0.0,LEGAL
82,Carrizosa+Fabreg%E0,0.0,LEGAL
83,1<vmlframe xmlns=urn:schemas-microsoft-com:vml style=behavior:url(#default#vml);position:absolute;width:100%;height:100% src=test.vml#xss></vmlframe>,1.0,XSS
84,' or '7659'='7659,1.0,SQL
85,Puigdema+Zamarroni,0.0,LEGAL
86,Occam,0.0,LEGAL
87,sbragia.tait%40movil-google.mm,0.0,LEGAL
88,ledgers,0.0,LEGAL
89,">""'><img%20src%3D%26%23x6a;%26%23x61;%26%23x76;%26%23x61;%26%23x73;%26%23x63;%26%23x72;%26%23x69;%26%23x70;%26%23x74;%26%23x3a;confirm(%26quot;%26%23x20;XSS%26%23x20;Test%26%23x20;Successful%26quot;)>",1.0,XSS
90,6986967316168670,0.0,LEGAL
91,autobiographies,0.0,LEGAL
92,widen,0.0,LEGAL
93,4816,0.0,LEGAL
94,javascript&#x3A;alert(1),1.0,XSS
95,diagonal,0.0,LEGAL
96,47513,0.0,LEGAL
97,synapses,0.0,LEGAL
98,Ketti,0.0,LEGAL
99,<a/href=java&Tab;script:confirm%28/XSS/%29>click</a>,1.0,XSS
100,ms-sql,0.0,LEGAL
101,taxied,0.0,LEGAL
102,14640,0.0,LEGAL
103,amazedly,0.0,LEGAL
104,negrich,0.0,LEGAL
105,"&alphabet=""><script>alert(String.fromCharCode(88,83,83))</script>",1.0,XSS
106,Sin+Sol+15%2C+,0.0,LEGAL
